,Year,Modle,KM,Hand,CM,Color,Area,Gearbox,Price,IsNew,IsSaved,WithoutAccidents
123,2011, מאזדה 2,240000,3,1498,לבן,אזור חדרה וישובי עמק חפר,אוטומטית,18500.0,1,0,0
124,2009, מאזדה 3,186000,3,1598,כסוף,אזור חולון - בת ים,אוטומטית,14000.0,1,0,0
125,2009, מאזדה 3,169000,3,1598,בז’ מטאלי,אזור גדרה יבנה והסביבה,אוטומטית,19500.0,0,0,0
126,2009, מאזדה 3,200,3,1999,פלטינה,אזור פתח תקוה והסביבה,אוטומטית,25500.0,1,0,1
127,2012, מאזדה 6,163000,3,1998,אפור מטאלי,אזור מושבים בצפון,אוטומטית,28500.0,0,1,0
128,2011, מאזדה 2,193000,3,1498,אפור עכבר,אזור חולון - בת ים,אוטומטית,17500.0,0,0,0
129,2007, מאזדה 6,1000,3,2261,לבן פנינה,"אזור ראשל""צ והסביבה",אוטומטית,22000.0,1,0,0
130,2008, מאזדה 2,250000,2,1498,כסוף,אזור חדרה וישובי עמק חפר,אוטומטית,14500.0,0,0,0
131,2008, מאזדה 2,220000,2,1498,בורדו,אזור ירושלים והסביבה,אוטומטית,14000.0,0,0,0
132,2012, מאזדה 3,160000,4,1598,אפור עכבר,אזור הוד השרון והסביבה,אוטומטית,24600.0,0,0,0
133,2011, מאזדה 5,205000,3,1999,אפור עכבר,אזור חולון - בת ים,אוטומטית,35000.0,0,0,0
134,2010, מאזדה 5,230000,3,1999,שחור,אזור חולון - בת ים,אוטומטית,26000.0,0,1,0
135,2013, מאזדה 5,137000,3,1999,תכלת,אזור ירושלים והסביבה,אוטומטית,62000.0,1,1,0
136,2013, מאזדה 5,194000,2,1999,לבן,אזור עכו - נהריה,אוטומטית,55000.0,0,1,1
137,2008, מאזדה 5,216000,3,1999,כחול,אזור בית שמש והסביבה,אוטומטית,25000.0,0,0,0
138,2008, מאזדה 2,124000,5,1498,כחול בהיר מטאלי,אזור חולון - בת ים,אוטומטית,19500.0,0,0,0
139,2010, מאזדה 3,168000,4,1598,שחור,אזור חולון - בת ים,אוטומטית,17500.0,0,1,0
140,2016, מאזדה 2,48200,1,1496,אפור מטאלי,אזור רמת גן - גבעתיים,אוטומטית,63000.0,0,0,1
141,2019, מאזדה 2,45500,1,1496,לבן פנינה,אזור בקעת אונו,אוטומטית,85000.0,0,0,1
142,2011, מאזדה 6,131000,4,1999,אפור עכבר,אזור ירושלים והסביבה,אוטומטית,35000.0,0,1,0
143,2014, מאזדה 3,142000,2,1496,שחור מטאלי,אזור תל אביב,אוטומטית,55000.0,0,1,0
144,2007, מאזדה 6,215000,3,2261,שחור מטאלי,אזור מושבים בשפלה,אוטומטית,16990.0,1,0,0
145,2017, מאזדה 2,134000,2,1496,שחור,"אזור ראשל""צ והסביבה",אוטומטית,59999.0,1,1,1
146,2011, מאזדה 2,176000,2,1498,תכלת מטאלי,אזור זכרון - בנימינה,אוטומטית,18000.0,0,0,0
147,2005, מאזדה MPV,178000,5,2967,אפור עכבר,אזור רמת גן - גבעתיים,אוטומטית,7000.0,0,0,0
148,2008, מאזדה 6,152000,3,1999,שחור מטאלי,אזור באר שבע והסביבה,אוטומטית,22999.0,0,0,0
149,2018, מאזדה 6,40000,1,2488,לבן פנינה,אזור נס ציונה - רחובות,אוטומטית,140000.0,0,1,1
150,2007, מאזדה 5,163000,3,1999,פלטינה,אזור בית שמש והסביבה,אוטומטית,27000.0,0,1,0
151,2008, מאזדה 5,197000,4,1999,כסוף,אזור מודיעין והסביבה,אוטומטית,24900.0,0,1,0
152,2020, מאזדה 6,25000,1,2488,לבן,אזור גדרה יבנה והסביבה,אוטומטית,175000.0,1,1,1
153,2016, מאזדה 3,160000,3,1496,לבן שנהב,אזור כרמיאל והסביבה,אוטומטית,50000.0,0,0,0
154,2018, מאזדה 3,12600,1,1998,אפור,אזור חולון - בת ים,אוטומטית,110000.0,0,1,0
155,2012, מאזדה 6,163000,3,1998,אפור מטאלי,אזור מושבים בצפון,אוטומטית,28500.0,0,1,0
156,2008, מאזדה 6,238000,5,2488,כחול כהה מטאלי,אזור גדרה יבנה והסביבה,אוטומטית,19000.0,0,0,0
157,2019, מאזדה 3,21000,1,1998,אפור מטאלי,אזור מושבים בצפון,אוטומטית,108000.0,0,0,0
